    ,ProvinceName ,Prod    ,Prop ,HarvArea ,ProdPerHarvArea ,Year ,ProvinceID ,region          ,AvgRain
  0 ,อ่างทอง       ,99868.0 ,2%   ,154160.0 ,         647.82 ,2021 ,        15 ,กลาง            , 96.37415312183333
  1 ,อ่างทอง       ,99868.0 ,2%   ,154160.0 ,         647.82 ,2022 ,        15 ,กลาง            , 47.83927056433333
  2 ,อ่างทอง       ,47337.0 ,1%   , 73823.0 ,         641.22 ,2021 ,        15 ,กลาง            , 96.37415312183333
  3 ,อ่างทอง       ,47337.0 ,1%   , 73823.0 ,         641.22 ,2022 ,        15 ,กลาง            , 47.83927056433333
  4 ,สระบุรี        ,95702.0 ,2%   ,146284.0 ,         654.22 ,2021 ,        19 ,กลาง            ,122.33025197841665
  5 ,สระบุรี        ,95702.0 ,2%   ,146284.0 ,         654.22 ,2022 ,        19 ,กลาง            , 63.68884576666667
  6 ,สระบุรี        ,30247.0 ,1%   , 49425.0 ,         611.98 ,2021 ,        19 ,กลาง            ,122.33025197841665
  7 ,สระบุรี        ,30247.0 ,1%   , 49425.0 ,         611.98 ,2022 ,        19 ,กลาง            , 63.68884576666667
  8 ,ขอนแก่น       ,79951.0 ,1%   ,138243.0 ,         578.34 ,2021 ,        40 ,ตะวันออกเฉียงเหนือ ,101.99728331166666
  9 ,ขอนแก่น       ,79951.0 ,1%   ,138243.0 ,         578.34 ,2022 ,        40 ,ตะวันออกเฉียงเหนือ , 67.71816010808334
 10 ,ขอนแก่น       ,78367.0 ,1%   ,134362.0 ,         583.25 ,2021 ,        40 ,ตะวันออกเฉียงเหนือ ,101.99728331166666
 11 ,ขอนแก่น       ,78367.0 ,1%   ,134362.0 ,         583.25 ,2022 ,        40 ,ตะวันออกเฉียงเหนือ , 67.71816010808334
 12 ,อุบลราชธานี    ,79618.0 ,1%   ,165902.0 ,         479.91 ,2021 ,        34 ,ตะวันออกเฉียงเหนือ ,132.84872454525
 13 ,อุบลราชธานี    ,79618.0 ,1%   ,165902.0 ,         479.91 ,2022 ,        34 ,ตะวันออกเฉียงเหนือ , 84.24216783758334
 14 ,อุบลราชธานี    ,85116.0 ,2%   ,176536.0 ,         482.15 ,2021 ,        34 ,ตะวันออกเฉียงเหนือ ,132.84872454525
 15 ,อุบลราชธานี    ,85116.0 ,2%   ,176536.0 ,         482.15 ,2022 ,        34 ,ตะวันออกเฉียงเหนือ , 84.24216783758334
 16 ,ปราจีนบุรี      ,77814.0 ,1%   ,124479.0 ,         625.12 ,2021 ,        25 ,ตะวันออก         ,159.48050865191667
 17 ,ปราจีนบุรี      ,77814.0 ,1%   ,124479.0 ,         625.12 ,2022 ,        25 ,ตะวันออก         , 81.433311538
 18 ,ปราจีนบุรี      ,75741.0 ,1%   ,121432.0 ,         623.73 ,2021 ,        25 ,ตะวันออก         ,159.48050865191667
 19 ,ปราจีนบุรี      ,75741.0 ,1%   ,121432.0 ,         623.73 ,2022 ,        25 ,ตะวันออก         , 81.433311538
 20 ,อุทัยธานี       ,71074.0 ,1%   ,110733.0 ,         641.85 ,2021 ,        61 ,กลาง            ,123.06856588791668
 21 ,อุทัยธานี       ,71074.0 ,1%   ,110733.0 ,         641.85 ,2022 ,        61 ,กลาง            , 69.58473652666667
 22 ,อุทัยธานี       ,67614.0 ,1%   ,107833.0 ,         627.03 ,2021 ,        61 ,กลาง            ,123.06856588791668
 23 ,อุทัยธานี       ,67614.0 ,1%   ,107833.0 ,         627.03 ,2022 ,        61 ,กลาง            , 69.58473652666667
 24 ,เชียงใหม่      ,58390.0 ,1%   , 85466.0 ,         683.2  ,2021 ,        50 ,เหนือ            , 98.72431620908334
 25 ,เชียงใหม่      ,58390.0 ,1%   , 85466.0 ,         683.2  ,2022 ,        50 ,เหนือ            , 63.61779607916666
 26 ,เชียงใหม่      ,80221.0 ,2%   ,115813.0 ,         692.68 ,2021 ,        50 ,เหนือ            , 98.72431620908334
 27 ,เชียงใหม่      ,80221.0 ,2%   ,115813.0 ,         692.68 ,2022 ,        50 ,เหนือ            , 63.61779607916666
 28 ,นนทบุรี        ,56382.0 ,1%   , 77962.0 ,         723.2  ,2021 ,        12 ,กลาง            ,113.02751564791667
 29 ,นนทบุรี        ,56382.0 ,1%   , 77962.0 ,         723.2  ,2022 ,        12 ,กลาง            , 78.05839594333334
 30 ,นนทบุรี        ,54695.0 ,1%   , 76203.0 ,         717.75 ,2021 ,        12 ,กลาง            ,113.02751564791667
 31 ,นนทบุรี        ,54695.0 ,1%   , 76203.0 ,         717.75 ,2022 ,        12 ,กลาง            , 78.05839594333334
 32 ,ชัยภูมิ         ,51299.0 ,1%   , 82019.0 ,         625.45 ,2021 ,        36 ,ตะวันออกเฉียงเหนือ ,107.23849172541668
 33 ,ชัยภูมิ         ,51299.0 ,1%   , 82019.0 ,         625.45 ,2022 ,        36 ,ตะวันออกเฉียงเหนือ , 64.0722603025
 34 ,ชัยภูมิ         ,46364.0 ,1%   , 75056.0 ,         617.73 ,2021 ,        36 ,ตะวันออกเฉียงเหนือ ,107.23849172541668
 35 ,ชัยภูมิ         ,46364.0 ,1%   , 75056.0 ,         617.73 ,2022 ,        36 ,ตะวันออกเฉียงเหนือ , 64.0722603025
 36 ,กรุงเทพมหานคร ,48128.0 ,1%   , 73539.0 ,         654.46 ,2021 ,        10 ,กลาง            ,123.9856755295
 37 ,กรุงเทพมหานคร ,48128.0 ,1%   , 73539.0 ,         654.46 ,2022 ,        10 ,กลาง            , 80.14790232083334
 38 ,กรุงเทพมหานคร ,47548.0 ,1%   , 73188.0 ,         649.67 ,2021 ,        10 ,กลาง            ,123.9856755295
 39 ,กรุงเทพมหานคร ,47548.0 ,1%   , 73188.0 ,         649.67 ,2022 ,        10 ,กลาง            , 80.14790232083334
 40 ,หนองคาย      ,46557.0 ,1%   , 88909.0 ,         523.65 ,2021 ,        43 ,ตะวันออกเฉียงเหนือ ,142.65052179041666
 41 ,หนองคาย      ,46557.0 ,1%   , 88909.0 ,         523.65 ,2022 ,        43 ,ตะวันออกเฉียงเหนือ ,103.77957992083334
 42 ,หนองคาย      ,53943.0 ,1%   ,102064.0 ,         528.52 ,2021 ,        43 ,ตะวันออกเฉียงเหนือ ,142.65052179041666
 43 ,หนองคาย      ,53943.0 ,1%   ,102064.0 ,         528.52 ,2022 ,        43 ,ตะวันออกเฉียงเหนือ ,103.77957992083334
 44 ,ยโสธร        ,37832.0 ,1%   , 67199.0 ,         562.98 ,2021 ,        35 ,ตะวันออกเฉียงเหนือ ,130.34352963716665
 45 ,ยโสธร        ,37832.0 ,1%   , 67199.0 ,         562.98 ,2022 ,        35 ,ตะวันออกเฉียงเหนือ , 76.41701052633333
 46 ,ยโสธร        ,40022.0 ,1%   , 71105.0 ,         562.86 ,2021 ,        35 ,ตะวันออกเฉียงเหนือ ,130.34352963716665
 47 ,ยโสธร        ,40022.0 ,1%   , 71105.0 ,         562.86 ,2022 ,        35 ,ตะวันออกเฉียงเหนือ , 76.41701052633333
 48 ,นครพนม       ,36385.0 ,1%   , 70376.0 ,         517.01 ,2021 ,        48 ,ตะวันออกเฉียงเหนือ ,152.80342611833333
 49 ,นครพนม       ,36385.0 ,1%   , 70376.0 ,         517.01 ,2022 ,        48 ,ตะวันออกเฉียงเหนือ , 82.67141871758334
 50 ,นครพนม       ,45456.0 ,1%   , 86900.0 ,         523.08 ,2021 ,        48 ,ตะวันออกเฉียงเหนือ ,152.80342611833333
 51 ,นครพนม       ,45456.0 ,1%   , 86900.0 ,         523.08 ,2022 ,        48 ,ตะวันออกเฉียงเหนือ , 82.67141871758334
 52 ,ศรีสะเกษ      ,35426.0 ,1%   , 68618.0 ,         516.28 ,2021 ,        33 ,ตะวันออกเฉียงเหนือ ,121.19639157541667
 53 ,ศรีสะเกษ      ,35426.0 ,1%   , 68618.0 ,         516.28 ,2022 ,        33 ,ตะวันออกเฉียงเหนือ , 76.7977312685
 54 ,ศรีสะเกษ      ,39534.0 ,1%   , 74988.0 ,         527.2  ,2021 ,        33 ,ตะวันออกเฉียงเหนือ ,121.19639157541667
 55 ,ศรีสะเกษ      ,39534.0 ,1%   , 74988.0 ,         527.2  ,2022 ,        33 ,ตะวันออกเฉียงเหนือ , 76.7977312685
 56 ,สกลนคร       ,29930.0 ,0%   , 63243.0 ,         473.25 ,2021 ,        47 ,ตะวันออกเฉียงเหนือ ,133.01734380983333
 57 ,สกลนคร       ,29930.0 ,0%   , 63243.0 ,         473.25 ,2022 ,        47 ,ตะวันออกเฉียงเหนือ , 84.80391996616667
 58 ,สกลนคร       ,30723.0 ,1%   , 64431.0 ,         476.84 ,2021 ,        47 ,ตะวันออกเฉียงเหนือ ,133.01734380983333
 59 ,สกลนคร       ,30723.0 ,1%   , 64431.0 ,         476.84 ,2022 ,        47 ,ตะวันออกเฉียงเหนือ , 84.80391996616667
 60 ,พะเยา        ,26745.0 ,0%   , 42966.0 ,         622.47 ,2021 ,        56 ,เหนือ            ,107.38571203233333
 61 ,พะเยา        ,26745.0 ,0%   , 42966.0 ,         622.47 ,2022 ,        56 ,เหนือ            , 77.45901951416666
 62 ,พะเยา        ,20134.0 ,0%   , 30658.0 ,         656.73 ,2021 ,        56 ,เหนือ            ,107.38571203233333
 63 ,พะเยา        ,20134.0 ,0%   , 30658.0 ,         656.73 ,2022 ,        56 ,เหนือ            , 77.45901951416666
 64 ,อุดรธานี       ,23252.0 ,0%   , 45041.0 ,         516.24 ,2021 ,        41 ,ตะวันออกเฉียงเหนือ ,115.45572719824999
 65 ,อุดรธานี       ,23252.0 ,0%   , 45041.0 ,         516.24 ,2022 ,        41 ,ตะวันออกเฉียงเหนือ , 76.393724686
 66 ,อุดรธานี       ,24629.0 ,0%   , 47048.0 ,         523.49 ,2021 ,        41 ,ตะวันออกเฉียงเหนือ ,115.45572719824999
 67 ,อุดรธานี       ,24629.0 ,0%   , 47048.0 ,         523.49 ,2022 ,        41 ,ตะวันออกเฉียงเหนือ , 76.393724686
 68 ,บุรีรัมย์        ,22614.0 ,0%   , 43423.0 ,         520.78 ,2021 ,        31 ,ตะวันออกเฉียงเหนือ ,118.01928369824999
 69 ,บุรีรัมย์        ,22614.0 ,0%   , 43423.0 ,         520.78 ,2022 ,        31 ,ตะวันออกเฉียงเหนือ , 92.95068877275001
 70 ,บุรีรัมย์        ,17414.0 ,0%   , 33590.0 ,         518.43 ,2021 ,        31 ,ตะวันออกเฉียงเหนือ ,118.01928369824999
 71 ,บุรีรัมย์        ,17414.0 ,0%   , 33590.0 ,         518.43 ,2022 ,        31 ,ตะวันออกเฉียงเหนือ , 92.95068877275001
 72 ,ชลบุรี         ,22307.0 ,0%   , 33674.0 ,         662.44 ,2021 ,        20 ,ตะวันออก         ,131.99203741166667
 73 ,ชลบุรี         ,22307.0 ,0%   , 33674.0 ,         662.44 ,2022 ,        20 ,ตะวันออก         , 65.1802408725
 74 ,ชลบุรี         ,21965.0 ,0%   , 33317.0 ,         659.27 ,2021 ,        20 ,ตะวันออก         ,131.99203741166667
 75 ,ชลบุรี         ,21965.0 ,0%   , 33317.0 ,         659.27 ,2022 ,        20 ,ตะวันออก         , 65.1802408725
 76 ,เพชรบูรณ์      ,21425.0 ,0%   , 36876.0 ,         581.0  ,2021 ,        67 ,กลาง            ,105.50848761408332
 77 ,เพชรบูรณ์      ,21425.0 ,0%   , 36876.0 ,         581.0  ,2022 ,        67 ,กลาง            , 57.93962868416667
 78 ,เพชรบูรณ์      ,19153.0 ,0%   , 32091.0 ,         596.83 ,2021 ,        67 ,กลาง            ,105.50848761408332
 79 ,เพชรบูรณ์      ,19153.0 ,0%   , 32091.0 ,         596.83 ,2022 ,        67 ,กลาง            , 57.93962868416667
 80 ,สระแก้ว       ,20442.0 ,0%   , 32727.0 ,         624.62 ,2021 ,        27 ,ตะวันออก         ,134.58027412883334
 81 ,สระแก้ว       ,20442.0 ,0%   , 32727.0 ,         624.62 ,2022 ,        27 ,ตะวันออก         , 71.7697238225
 82 ,สระแก้ว       ,20037.0 ,0%   , 31837.0 ,         629.36 ,2021 ,        27 ,ตะวันออก         ,134.58027412883334
 83 ,สระแก้ว       ,20037.0 ,0%   , 31837.0 ,         629.36 ,2022 ,        27 ,ตะวันออก         , 71.7697238225
 84 ,สุรินทร์        ,19839.0 ,0%   , 44464.0 ,         446.18 ,2021 ,        32 ,ตะวันออกเฉียงเหนือ ,115.005472752
 85 ,สุรินทร์        ,19839.0 ,0%   , 44464.0 ,         446.18 ,2022 ,        32 ,ตะวันออกเฉียงเหนือ , 80.08263625541666
 86 ,สุรินทร์        ,13601.0 ,0%   , 29301.0 ,         464.18 ,2021 ,        32 ,ตะวันออกเฉียงเหนือ ,115.005472752
 87 ,สุรินทร์        ,13601.0 ,0%   , 29301.0 ,         464.18 ,2022 ,        32 ,ตะวันออกเฉียงเหนือ , 80.08263625541666
 88 ,แพร่          ,18453.0 ,0%   , 31761.0 ,         581.0  ,2021 ,        54 ,เหนือ            , 95.46290355308334
 89 ,แพร่          ,18453.0 ,0%   , 31761.0 ,         581.0  ,2022 ,        54 ,เหนือ            , 64.42465753
 90 ,แพร่          ,24020.0 ,0%   , 41174.0 ,         583.38 ,2021 ,        54 ,เหนือ            , 95.46290355308334
 91 ,แพร่          ,24020.0 ,0%   , 41174.0 ,         583.38 ,2022 ,        54 ,เหนือ            , 64.42465753
 92 ,พัทลุง         ,14314.0 ,0%   , 27443.0 ,         521.59 ,2021 ,        93 ,ใต้              ,174.84211814208334
 93 ,พัทลุง         ,14314.0 ,0%   , 27443.0 ,         521.59 ,2022 ,        93 ,ใต้              ,114.45108405666666
 94 ,พัทลุง         ,15056.0 ,0%   , 28049.0 ,         536.77 ,2021 ,        93 ,ใต้              ,174.84211814208334
 95 ,พัทลุง         ,15056.0 ,0%   , 28049.0 ,         536.77 ,2022 ,        93 ,ใต้              ,114.45108405666666
 96 ,ยะลา         ,12634.0 ,0%   , 20508.0 ,         616.05 ,2021 ,        95 ,ใต้              ,189.37115783116667
 97 ,ยะลา         ,12634.0 ,0%   , 20508.0 ,         616.05 ,2022 ,        95 ,ใต้              ,102.22816927000001
 98 ,ลำปาง        ,12527.0 ,0%   , 24140.0 ,         518.93 ,2021 ,        52 ,เหนือ            ,105.23819676241665
 99 ,ลำปาง        ,12527.0 ,0%   , 24140.0 ,         518.93 ,2022 ,        52 ,เหนือ            , 62.65617661499999
100 ,หนองบัวลำภู    ,12451.0 ,0%   , 24519.0 ,         507.81 ,2021 ,        39 ,ตะวันออกเฉียงเหนือ ,111.47518129591667
101 ,หนองบัวลำภู    ,12451.0 ,0%   , 24519.0 ,         507.81 ,2022 ,        39 ,ตะวันออกเฉียงเหนือ , 61.70589393783333
102 ,หนองบัวลำภู    ,13649.0 ,0%   , 27119.0 ,         503.3  ,2021 ,        39 ,ตะวันออกเฉียงเหนือ ,111.47518129591667
103 ,หนองบัวลำภู    ,13649.0 ,0%   , 27119.0 ,         503.3  ,2022 ,        39 ,ตะวันออกเฉียงเหนือ , 61.70589393783333
104 ,สมุทรปราการ   ,10110.0 ,0%   , 14712.0 ,         687.19 ,2021 ,        11 ,กลาง            ,136.73338101541665
105 ,สมุทรปราการ   ,10110.0 ,0%   , 14712.0 ,         687.19 ,2022 ,        11 ,กลาง            , 72.86567240416666
106 ,สมุทรปราการ   ,11227.0 ,0%   , 16892.0 ,         664.63 ,2021 ,        11 ,กลาง            ,136.73338101541665
107 ,สมุทรปราการ   ,11227.0 ,0%   , 16892.0 ,         664.63 ,2022 ,        11 ,กลาง            , 72.86567240416666
108 ,นครนายก      ,99588.0 ,2%   ,153577.0 ,         648.46 ,2021 ,        26 ,กลาง            ,193.005021847
109 ,นครนายก      ,99588.0 ,2%   ,153577.0 ,         648.46 ,2022 ,        26 ,กลาง            , 97.49963731341666
110 ,กาญจนบุรี      ,85409.0 ,2%   ,118675.0 ,         719.69 ,2021 ,        71 ,ตะวันตก          ,129.33655924466666
111 ,กาญจนบุรี      ,85409.0 ,2%   ,118675.0 ,         719.69 ,2022 ,        71 ,ตะวันตก          , 64.17748929683333
112 ,เพชรบุรี       ,76622.0 ,1%   ,106802.0 ,         717.42 ,2021 ,        76 ,ตะวันตก          ,101.02134374058333
113 ,เพชรบุรี       ,76622.0 ,1%   ,106802.0 ,         717.42 ,2022 ,        76 ,ตะวันตก          , 48.70523826083333
114 ,สิงห์บุรี        ,57838.0 ,1%   , 86595.0 ,         667.91 ,2021 ,        17 ,กลาง            ,103.80002761841666
115 ,สิงห์บุรี        ,57838.0 ,1%   , 86595.0 ,         667.91 ,2022 ,        17 ,กลาง            , 50.1829550985
116 ,ราชบุรี        ,53558.0 ,1%   , 75597.0 ,         708.47 ,2021 ,        70 ,ตะวันตก          , 98.68425976774999
117 ,ราชบุรี        ,53558.0 ,1%   , 75597.0 ,         708.47 ,2022 ,        70 ,ตะวันตก          , 46.444330378333326
118 ,ลพบุรี         ,51103.0 ,1%   , 85854.0 ,         595.23 ,2021 ,        16 ,กลาง            ,111.82390254566667
119 ,ลพบุรี         ,51103.0 ,1%   , 85854.0 ,         595.23 ,2022 ,        16 ,กลาง            , 55.181040965833326
120 ,ปัตตานี        ,12268.0 ,0%   , 20245.0 ,         605.98 ,2021 ,        94 ,ใต้              ,168.22924588941666
121 ,ปัตตานี        ,12268.0 ,0%   , 20245.0 ,         605.98 ,2022 ,        94 ,ใต้              , 98.54405844833333
